label,num_topics,alpha,beta,coherence
K10_alphasymmetric_betasymmetric,10,symmetric,symmetric,0.44254893474881796
K10_alphasymmetric_beta0.01,10,symmetric,0.01,0.4435386067488273
K10_alphasymmetric_beta0.1,10,symmetric,0.1,0.44254893474881796
K10_alphasymmetric_beta0.5,10,symmetric,0.5,0.44809795496357435
K10_alphaasymmetric_betasymmetric,10,asymmetric,symmetric,0.44251834616069036
K10_alphaasymmetric_beta0.01,10,asymmetric,0.01,0.44234010820418324
K10_alphaasymmetric_beta0.1,10,asymmetric,0.1,0.44251834616069036
K10_alphaasymmetric_beta0.5,10,asymmetric,0.5,0.44687798789439315
K10_alpha0.01_betasymmetric,10,0.01,symmetric,0.44254893474881796
K10_alpha0.01_beta0.01,10,0.01,0.01,0.4435386067488274
K10_alpha0.01_beta0.1,10,0.01,0.1,0.44254893474881796
K10_alpha0.01_beta0.5,10,0.01,0.5,0.44809795496357435
K10_alpha0.1_betasymmetric,10,0.1,symmetric,0.44254893474881796
K10_alpha0.1_beta0.01,10,0.1,0.01,0.4435386067488273
K10_alpha0.1_beta0.1,10,0.1,0.1,0.44254893474881796
K10_alpha0.1_beta0.5,10,0.1,0.5,0.44809795496357435
K10_alpha0.5_betasymmetric,10,0.5,symmetric,0.4441814606892692
K10_alpha0.5_beta0.01,10,0.5,0.01,0.4443912002323801
K10_alpha0.5_beta0.1,10,0.5,0.1,0.4441814606892692
K10_alpha0.5_beta0.5,10,0.5,0.5,0.4454575660993547
K20_alphasymmetric_betasymmetric,20,symmetric,symmetric,0.45752242024255646
K20_alphasymmetric_beta0.01,20,symmetric,0.01,0.46437205729598396
K20_alphasymmetric_beta0.1,20,symmetric,0.1,0.45949788265284364
K20_alphasymmetric_beta0.5,20,symmetric,0.5,0.45756477516402894
K20_alphaasymmetric_betasymmetric,20,asymmetric,symmetric,0.4587282861030455
K20_alphaasymmetric_beta0.01,20,asymmetric,0.01,0.46454503842808004
K20_alphaasymmetric_beta0.1,20,asymmetric,0.1,0.4602303932892631
K20_alphaasymmetric_beta0.5,20,asymmetric,0.5,0.4747600891077181
K20_alpha0.01_betasymmetric,20,0.01,symmetric,0.45803542016681353
K20_alpha0.01_beta0.01,20,0.01,0.01,0.46437205729598396
K20_alpha0.01_beta0.1,20,0.01,0.1,0.45886857284831145
K20_alpha0.01_beta0.5,20,0.01,0.5,0.4568326573236214
K20_alpha0.1_betasymmetric,20,0.1,symmetric,0.4579562451710795
K20_alpha0.1_beta0.01,20,0.1,0.01,0.46437205729598396
K20_alpha0.1_beta0.1,20,0.1,0.1,0.4609640276840511
K20_alpha0.1_beta0.5,20,0.1,0.5,0.45547974393308516
K20_alpha0.5_betasymmetric,20,0.5,symmetric,0.45902385365370196
K20_alpha0.5_beta0.01,20,0.5,0.01,0.46736717076615475
K20_alpha0.5_beta0.1,20,0.5,0.1,0.4562257584192376
K20_alpha0.5_beta0.5,20,0.5,0.5,0.45211705655598405
K30_alphasymmetric_betasymmetric,30,symmetric,symmetric,0.4708112863170294
K30_alphasymmetric_beta0.01,30,symmetric,0.01,0.45508236591999884
K30_alphasymmetric_beta0.1,30,symmetric,0.1,0.48341508511737896
K30_alphasymmetric_beta0.5,30,symmetric,0.5,0.4576279002053987
K30_alphaasymmetric_betasymmetric,30,asymmetric,symmetric,0.4742564197094855
K30_alphaasymmetric_beta0.01,30,asymmetric,0.01,0.45867624302278764
K30_alphaasymmetric_beta0.1,30,asymmetric,0.1,0.48472999494030966
K30_alphaasymmetric_beta0.5,30,asymmetric,0.5,0.4612712681035595
K30_alpha0.01_betasymmetric,30,0.01,symmetric,0.47033046507431586
K30_alpha0.01_beta0.01,30,0.01,0.01,0.4532535744079054
K30_alpha0.01_beta0.1,30,0.01,0.1,0.4841961016710136
