label,num_topics,alpha,beta,coherence
K10_alphasymmetric_betasymmetric,10,symmetric,symmetric,0.4243892976711222
K10_alphasymmetric_beta0.01,10,symmetric,0.01,0.4311180797418343
K10_alphasymmetric_beta0.1,10,symmetric,0.1,0.4243892976711222
K10_alphasymmetric_beta0.5,10,symmetric,0.5,0.42127331829504755
K10_alphaasymmetric_betasymmetric,10,asymmetric,symmetric,0.42987300255429994
K10_alphaasymmetric_beta0.01,10,asymmetric,0.01,0.42439069039144445
K10_alphaasymmetric_beta0.1,10,asymmetric,0.1,0.42987300255429994
K10_alphaasymmetric_beta0.5,10,asymmetric,0.5,0.4224531218890954
K10_alpha0.01_betasymmetric,10,0.01,symmetric,0.4238889817617923
K10_alpha0.01_beta0.01,10,0.01,0.01,0.4312192200381785
K10_alpha0.01_beta0.1,10,0.01,0.1,0.4238889817617923
K10_alpha0.01_beta0.5,10,0.01,0.5,0.4215291769337532
K10_alpha0.1_betasymmetric,10,0.1,symmetric,0.4243892976711222
K10_alpha0.1_beta0.01,10,0.1,0.01,0.4311180797418343
K10_alpha0.1_beta0.1,10,0.1,0.1,0.4243892976711222
K10_alpha0.1_beta0.5,10,0.1,0.5,0.42127331829504755
K10_alpha0.5_betasymmetric,10,0.5,symmetric,0.4173590830980956
K10_alpha0.5_beta0.01,10,0.5,0.01,0.41961092135264416
K10_alpha0.5_beta0.1,10,0.5,0.1,0.4173590830980956
K10_alpha0.5_beta0.5,10,0.5,0.5,0.4262049432692459
K20_alphasymmetric_betasymmetric,20,symmetric,symmetric,0.4770464893069978
K20_alphasymmetric_beta0.01,20,symmetric,0.01,0.4718810235274458
K20_alphasymmetric_beta0.1,20,symmetric,0.1,0.5014353480261872
K20_alphasymmetric_beta0.5,20,symmetric,0.5,0.4655112828421598
K20_alphaasymmetric_betasymmetric,20,asymmetric,symmetric,0.49210560121140656
K20_alphaasymmetric_beta0.01,20,asymmetric,0.01,0.48129110900759037
K20_alphaasymmetric_beta0.1,20,asymmetric,0.1,0.5007045007072549
K20_alphaasymmetric_beta0.5,20,asymmetric,0.5,0.46267989545405924
K20_alpha0.01_betasymmetric,20,0.01,symmetric,0.4818192273806474
K20_alpha0.01_beta0.01,20,0.01,0.01,0.4766325626822896
K20_alpha0.01_beta0.1,20,0.01,0.1,0.5031414309207722
K20_alpha0.01_beta0.5,20,0.01,0.5,0.4652135889766063
K20_alpha0.1_betasymmetric,20,0.1,symmetric,0.4867166648504086
K20_alpha0.1_beta0.01,20,0.1,0.01,0.46862567051432863
K20_alpha0.1_beta0.1,20,0.1,0.1,0.499592262297181
K20_alpha0.1_beta0.5,20,0.1,0.5,0.4637534092132641
K20_alpha0.5_betasymmetric,20,0.5,symmetric,0.4907371827445566
K20_alpha0.5_beta0.01,20,0.5,0.01,0.48484842692866287
K20_alpha0.5_beta0.1,20,0.5,0.1,0.4908316002017127
K20_alpha0.5_beta0.5,20,0.5,0.5,0.4625560561072438
K30_alphasymmetric_betasymmetric,30,symmetric,symmetric,0.49684830760549076
K30_alphasymmetric_beta0.01,30,symmetric,0.01,0.4995484239935832
K30_alphasymmetric_beta0.1,30,symmetric,0.1,0.49526892319131977
K30_alphasymmetric_beta0.5,30,symmetric,0.5,0.41027783222727887
K30_alphaasymmetric_betasymmetric,30,asymmetric,symmetric,0.5118014923310416
K30_alphaasymmetric_beta0.01,30,asymmetric,0.01,0.5003059955605508
K30_alphaasymmetric_beta0.1,30,asymmetric,0.1,0.48704619494318496
K30_alphaasymmetric_beta0.5,30,asymmetric,0.5,0.40885829622176495
K30_alpha0.01_betasymmetric,30,0.01,symmetric,0.49675488275568125
K30_alpha0.01_beta0.01,30,0.01,0.01,0.501149097585017
K30_alpha0.01_beta0.1,30,0.01,0.1,0.4958176386403081
K30_alpha0.01_beta0.5,30,0.01,0.5,0.409539634938749
K30_alpha0.1_betasymmetric,30,0.1,symmetric,0.5025312092592524
K30_alpha0.1_beta0.01,30,0.1,0.01,0.5017214461157932
K30_alpha0.1_beta0.1,30,0.1,0.1,0.49942160733282265
K30_alpha0.1_beta0.5,30,0.1,0.5,0.4417120362474796
K30_alpha0.5_betasymmetric,30,0.5,symmetric,0.49912488342235956
K30_alpha0.5_beta0.01,30,0.5,0.01,0.49318957048093204
K30_alpha0.5_beta0.1,30,0.5,0.1,0.48660382907530575
K30_alpha0.5_beta0.5,30,0.5,0.5,0.4196682688450559
K40_alphasymmetric_betasymmetric,40,symmetric,symmetric,0.49918335540435377
K40_alphasymmetric_beta0.01,40,symmetric,0.01,0.5000422923590218
K40_alphasymmetric_beta0.1,40,symmetric,0.1,0.5005299900016305
K40_alphasymmetric_beta0.5,40,symmetric,0.5,0.37614230932740017
K40_alphaasymmetric_betasymmetric,40,asymmetric,symmetric,0.5127985387415728
K40_alphaasymmetric_beta0.01,40,asymmetric,0.01,0.4885741252845269
K40_alphaasymmetric_beta0.1,40,asymmetric,0.1,0.5043185229425565
K40_alphaasymmetric_beta0.5,40,asymmetric,0.5,0.3832518021812875
K40_alpha0.01_betasymmetric,40,0.01,symmetric,0.5001392871013017
K40_alpha0.01_beta0.01,40,0.01,0.01,0.49827935658039363
K40_alpha0.01_beta0.1,40,0.01,0.1,0.5054277484488235
K40_alpha0.01_beta0.5,40,0.01,0.5,0.37488820074199997
K40_alpha0.1_betasymmetric,40,0.1,symmetric,0.5008551246605742
K40_alpha0.1_beta0.01,40,0.1,0.01,0.4894972624885203
K40_alpha0.1_beta0.1,40,0.1,0.1,0.5013566589163381
K40_alpha0.1_beta0.5,40,0.1,0.5,0.4318649489624674
K40_alpha0.5_betasymmetric,40,0.5,symmetric,0.5057187382742405
K40_alpha0.5_beta0.01,40,0.5,0.01,0.5017285388803867
K40_alpha0.5_beta0.1,40,0.5,0.1,0.5170050433930626
K40_alpha0.5_beta0.5,40,0.5,0.5,0.4615008451413692
