label,num_topics,alpha,beta,coherence
K10_alphasymmetric_betasymmetric,10,symmetric,symmetric,0.4081547083036619
K10_alphasymmetric_beta0.01,10,symmetric,0.01,0.4091271790360854
K10_alphasymmetric_beta0.1,10,symmetric,0.1,0.4081547083036619
K10_alphasymmetric_beta0.5,10,symmetric,0.5,0.3965769462003172
K10_alphaasymmetric_betasymmetric,10,asymmetric,symmetric,0.4025507978844062
K10_alphaasymmetric_beta0.01,10,asymmetric,0.01,0.39689245581558436
K10_alphaasymmetric_beta0.1,10,asymmetric,0.1,0.4025507978844062
K10_alphaasymmetric_beta0.5,10,asymmetric,0.5,0.3938830818416884
K10_alpha0.01_betasymmetric,10,0.01,symmetric,0.39774488767510363
K10_alpha0.01_beta0.01,10,0.01,0.01,0.39690315902850476
K10_alpha0.01_beta0.1,10,0.01,0.1,0.39774488767510363
K10_alpha0.01_beta0.5,10,0.01,0.5,0.3944044983348568
K10_alpha0.1_betasymmetric,10,0.1,symmetric,0.4081547083036619
K10_alpha0.1_beta0.01,10,0.1,0.01,0.4091271790360854
K10_alpha0.1_beta0.1,10,0.1,0.1,0.4081547083036619
K10_alpha0.1_beta0.5,10,0.1,0.5,0.3965769462003172
K10_alpha0.5_betasymmetric,10,0.5,symmetric,0.4009366806987207
K10_alpha0.5_beta0.01,10,0.5,0.01,0.4007118608361644
K10_alpha0.5_beta0.1,10,0.5,0.1,0.4009366806987207
K10_alpha0.5_beta0.5,10,0.5,0.5,0.3990493012637978
K20_alphasymmetric_betasymmetric,20,symmetric,symmetric,0.4205353157119324
K20_alphasymmetric_beta0.01,20,symmetric,0.01,0.421207345258827
K20_alphasymmetric_beta0.1,20,symmetric,0.1,0.4281844487986131
K20_alphasymmetric_beta0.5,20,symmetric,0.5,0.4382502879389175
K20_alphaasymmetric_betasymmetric,20,asymmetric,symmetric,0.4227738290713363
K20_alphaasymmetric_beta0.01,20,asymmetric,0.01,0.4214047467788606
K20_alphaasymmetric_beta0.1,20,asymmetric,0.1,0.425666977621929
K20_alphaasymmetric_beta0.5,20,asymmetric,0.5,0.4499938330869918
K20_alpha0.01_betasymmetric,20,0.01,symmetric,0.42208405759737194
K20_alpha0.01_beta0.01,20,0.01,0.01,0.42183765130112194
K20_alpha0.01_beta0.1,20,0.01,0.1,0.4279621552349708
K20_alpha0.01_beta0.5,20,0.01,0.5,0.43901745310316825
