label,topic_id,topic_coherence
K10_alphasymmetric_betasymmetric,0,0.5629753428243387
K10_alphasymmetric_betasymmetric,1,0.2934836245615402
K10_alphasymmetric_betasymmetric,2,0.47115349568271514
K10_alphasymmetric_betasymmetric,3,0.4700859263749111
K10_alphasymmetric_betasymmetric,4,0.4055367892837591
K10_alphasymmetric_betasymmetric,5,0.37205744063698604
K10_alphasymmetric_betasymmetric,6,0.4113683360699021
K10_alphasymmetric_betasymmetric,7,0.4052217555645653
K10_alphasymmetric_betasymmetric,8,0.438408087866277
K10_alphasymmetric_betasymmetric,9,0.4136021778462274
K10_alphasymmetric_beta0.01,0,0.5840689341665469
K10_alphasymmetric_beta0.01,1,0.3023391467902896
K10_alphasymmetric_beta0.01,2,0.47115349568271503
K10_alphasymmetric_beta0.01,3,0.5057791035531057
K10_alphasymmetric_beta0.01,4,0.41373619751010143
K10_alphasymmetric_beta0.01,5,0.37020209042925195
K10_alphasymmetric_beta0.01,6,0.42541134767037947
K10_alphasymmetric_beta0.01,7,0.3886887955381065
K10_alphasymmetric_beta0.01,8,0.438408087866277
K10_alphasymmetric_beta0.01,9,0.41139359821156934
K10_alphasymmetric_beta0.1,0,0.5629753428243387
K10_alphasymmetric_beta0.1,1,0.2934836245615402
K10_alphasymmetric_beta0.1,2,0.47115349568271514
K10_alphasymmetric_beta0.1,3,0.4700859263749111
K10_alphasymmetric_beta0.1,4,0.4055367892837591
K10_alphasymmetric_beta0.1,5,0.37205744063698604
K10_alphasymmetric_beta0.1,6,0.4113683360699021
K10_alphasymmetric_beta0.1,7,0.4052217555645653
K10_alphasymmetric_beta0.1,8,0.438408087866277
K10_alphasymmetric_beta0.1,9,0.4136021778462274
K10_alphasymmetric_beta0.5,0,0.5915793179235742
K10_alphasymmetric_beta0.5,1,0.44477691845401324
K10_alphasymmetric_beta0.5,2,0.42473013507276286
K10_alphasymmetric_beta0.5,3,0.28749116952107295
K10_alphasymmetric_beta0.5,4,0.3884829130764496
K10_alphasymmetric_beta0.5,5,0.37020209042925195
K10_alphasymmetric_beta0.5,6,0.3550045265629075
K10_alphasymmetric_beta0.5,7,0.5161308399222622
K10_alphasymmetric_beta0.5,8,0.41809081897581535
K10_alphasymmetric_beta0.5,9,0.41624445301236557
K10_alphaasymmetric_betasymmetric,0,0.5840689341665469
K10_alphaasymmetric_betasymmetric,1,0.3047766775809724
K10_alphaasymmetric_betasymmetric,2,0.47115349568271514
K10_alphaasymmetric_betasymmetric,3,0.4826486434457011
K10_alphaasymmetric_betasymmetric,4,0.4055367892837591
K10_alphaasymmetric_betasymmetric,5,0.3720574406369861
K10_alphaasymmetric_betasymmetric,6,0.4113683360699021
K10_alphaasymmetric_betasymmetric,7,0.42375393488583946
K10_alphaasymmetric_betasymmetric,8,0.43840808786627694
K10_alphaasymmetric_betasymmetric,9,0.40495768592430015
K10_alphaasymmetric_beta0.01,0,0.5840689341665469
K10_alphaasymmetric_beta0.01,1,0.29322373182046535
K10_alphaasymmetric_beta0.01,2,0.47115349568271503
K10_alphaasymmetric_beta0.01,3,0.4771432382783171
K10_alphaasymmetric_beta0.01,4,0.41373619751010143
K10_alphaasymmetric_beta0.01,5,0.367079215390404
K10_alphaasymmetric_beta0.01,6,0.417023299643699
K10_alphaasymmetric_beta0.01,7,0.35923996181525253
K10_alphaasymmetric_beta0.01,8,0.43840808786627694
K10_alphaasymmetric_beta0.01,9,0.42283074174066676
K10_alphaasymmetric_beta0.1,0,0.5840689341665469
K10_alphaasymmetric_beta0.1,1,0.3047766775809724
K10_alphaasymmetric_beta0.1,2,0.47115349568271514
K10_alphaasymmetric_beta0.1,3,0.4826486434457011
K10_alphaasymmetric_beta0.1,4,0.4055367892837591
K10_alphaasymmetric_beta0.1,5,0.3720574406369861
K10_alphaasymmetric_beta0.1,6,0.4113683360699021
